Time stamp,LG 23,LG 24,LG 25,LG 26,LG 27,LG 28,LG 29,LG 30,dataset_id
2017-09-04 11:30:00,41.4,43.8,41.428,41.94,61.89,61.89,95.25,101.5,3
2017-09-04 11:45:00,44.2,47.4,34.101,40.0,63.82,63.82,96.0,103.0,3
2017-09-04 12:00:00,46.4,43.4,40.368,40.5,64.038,64.038,102.0,105.0,3
2017-09-04 12:15:00,50.7,42.8,28.944,39.64,63.205,63.205,97.0,94.5,3
2017-09-04 12:30:00,50.9,41.8,14.252,42.42,63.25,63.25,92.25,85.5,3
2017-09-04 12:45:00,40.2,40.4,18.617,42.44,61.12,61.12,85.75,96.0,3
2017-09-04 13:00:00,21.7,37.8,24.701,30.76,61.555,61.555,82.5,111.0,3
2017-09-04 13:15:00,20.3,37.8,40.392,31.38,62.285,62.285,87.0,97.5,3
2017-09-04 13:30:00,20.8,41.6,31.553,33.1,63.293,63.293,95.5,129.5,3
2017-09-04 13:45:00,30.9,43.4,31.224,33.9,62.855,62.855,96.75,103.0,3
2017-09-04 14:00:00,44.0,47.0,26.725,31.92,62.8,62.8,96.25,89.5,3
2017-09-04 14:15:00,39.1,47.8,29.431,29.32,65.01,65.01,93.0,84.0,3
2017-09-04 14:30:00,40.3,46.6,26.066,23.5,67.045,67.045,89.0,87.5,3
2017-09-04 14:45:00,44.2,44.2,26.493,22.8,62.888,62.888,90.25,93.5,3
2017-09-05 04:00:00,4.4,7.8,0.89,4.7,26.35,26.35,22.75,101.5,4
2017-09-05 04:15:00,3.8,8.6,0.853,19.34,32.4,32.4,22.25,97.5,4
2017-09-05 04:30:00,3.7,7.8,0.829,21.6,29.95,29.95,22.0,96.0,4
2017-09-05 04:45:00,3.9,8.0,0.878,22.56,30.35,30.35,18.75,88.0,4
2017-09-05 05:00:00,3.9,8.4,0.89,26.52,31.55,31.55,17.0,102.0,4
2017-09-05 05:15:00,3.8,9.8,2.682,15.88,31.85,31.85,17.5,93.0,4
2017-09-05 05:30:00,3.7,10.4,2.999,18.42,31.3,31.3,16.25,78.0,4
2017-09-05 05:45:00,3.9,10.2,1.963,24.04,30.5,30.5,19.5,73.0,4
2017-09-05 06:00:00,4.1,14.2,7.132,30.96,37.4,37.4,29.25,64.5,4
2017-09-05 06:15:00,9.4,21.8,8.388,38.38,43.65,43.65,37.75,70.5,4
2017-09-05 06:30:00,12.3,22.6,8.425,37.36,43.75,43.75,43.0,108.0,4
2017-09-05 06:45:00,12.9,26.0,9.059,36.1,47.9,47.9,52.5,110.0,4
2017-09-05 07:00:00,10.3,26.0,9.827,36.66,49.65,49.65,59.25,105.5,4
2017-09-05 07:15:00,11.4,31.0,10.656,39.72,52.25,52.25,62.5,102.0,4
2017-09-05 07:30:00,16.5,31.4,11.387,39.48,52.403,52.403,65.75,100.5,4
2017-09-05 07:45:00,18.3,33.4,11.595,36.78,53.75,53.75,75.75,113.5,4
2017-09-05 08:00:00,19.7,34.0,12.667,39.74,54.955,54.955,78.75,89.0,4
2017-09-05 08:15:00,27.6,36.6,26.371,41.04,55.26,55.26,80.75,102.5,4
2017-09-05 08:30:00,43.9,35.8,34.138,42.84,61.71,61.71,85.0,111.0,4
2017-09-05 08:45:00,48.5,38.0,33.784,43.14,62.705,62.705,99.25,111.0,4
2017-09-05 09:00:00,49.2,38.6,32.004,45.84,63.468,63.468,104.75,103.0,4
2017-09-05 09:15:00,49.7,40.4,31.126,44.22,65.505,65.505,103.0,88.5,4
2017-09-05 09:30:00,47.3,39.8,32.736,42.8,62.408,62.408,104.25,107.0,4
2017-09-05 09:45:00,45.2,38.0,26.164,43.7,62.855,62.855,99.25,126.5,4
2017-09-05 10:00:00,40.0,35.2,36.856,42.66,62.29,62.29,101.75,89.0,4
2017-09-05 10:15:00,25.1,36.2,32.662,43.12,64.348,64.348,102.0,91.0,4
2017-09-05 10:30:00,32.4,42.8,24.567,46.32,64.675,64.675,99.0,102.0,4
2017-09-05 10:45:00,44.7,43.2,22.677,43.22,63.04,63.04,96.0,108.5,4
2017-09-05 11:00:00,47.7,39.6,22.86,42.94,65.648,65.648,100.25,102.5,4
2017-09-05 11:15:00,47.6,41.0,47.244,42.04,65.953,65.953,102.0,117.5,4
2017-09-05 11:30:00,44.8,41.8,46.208,44.5,68.235,68.235,102.75,108.5,4
2017-09-05 11:45:00,45.5,45.0,40.453,41.2,66.853,66.853,101.25,109.5,4
2017-09-05 12:00:00,47.4,41.6,31.675,41.04,64.113,64.113,106.5,120.5,4
2017-09-05 12:15:00,47.3,41.8,15.045,37.46,64.453,64.453,96.75,111.0,4
2017-09-05 12:30:00,49.1,42.4,14.204,37.38,64.1,64.1,99.5,88.5,4
2017-09-05 12:45:00,43.0,38.4,13.362,37.86,61.22,61.22,93.5,101.0,4
2017-09-05 13:00:00,27.6,37.8,22.884,32.12,61.523,61.523,89.0,121.0,4
2017-09-05 13:15:00,27.4,37.2,27.956,28.26,61.44,61.44,93.75,111.5,4
2017-09-05 13:30:00,23.4,40.8,17.105,28.14,62.913,62.913,99.75,111.5,4
2017-09-05 13:45:00,38.1,39.4,16.484,29.64,63.293,63.293,98.0,114.0,4
2017-09-05 14:00:00,38.6,37.8,17.666,29.2,62.15,62.15,98.0,81.5,4
2017-09-05 14:15:00,39.0,39.4,21.909,27.6,62.535,62.535,95.0,68.0,4
2017-09-05 14:30:00,44.2,40.8,16.557,26.7,63.475,63.475,95.0,83.0,4
2017-09-05 14:45:00,40.8,42.4,15.679,24.64,62.93,62.93,90.5,100.0,4
2017-09-05 15:00:00,42.0,42.6,23.945,24.7,62.155,62.155,90.5,100.5,4
2017-09-05 15:15:00,22.9,40.0,28.773,24.84,62.135,62.135,90.25,79.5,4
2017-09-05 15:30:00,32.3,40.8,30.273,28.94,63.585,63.585,91.25,89.5,4
2017-09-05 15:45:00,37.9,41.6,31.126,28.02,62.243,62.243,92.0,66.0,4
2017-09-06 05:00:00,4.0,9.8,0.878,27.76,32.4,32.4,17.25,88.5,5
2017-09-06 05:15:00,4.3,10.6,2.621,18.56,29.5,29.5,17.25,76.5,5
2017-09-06 05:30:00,4.3,11.4,2.499,17.88,30.65,30.65,17.25,91.5,5
2017-09-06 05:45:00,4.0,13.0,2.353,22.78,32.65,32.65,18.25,52.0,5
2017-09-06 06:00:00,3.9,20.8,8.522,37.62,34.75,34.75,19.75,47.0,5
2017-09-06 06:15:00,4.1,30.8,8.315,38.32,43.55,43.55,37.25,53.5,5
2017-09-06 06:30:00,5.9,34.8,10.01,40.24,44.45,44.45,50.75,81.5,5
2017-09-06 06:45:00,5.5,37.2,9.815,47.72,45.6,45.6,57.0,98.0,5
2017-09-06 07:00:00,6.3,35.4,9.619,49.62,47.6,47.6,59.25,93.0,5
2017-09-06 07:15:00,7.3,35.2,24.555,46.96,55.453,55.453,67.0,79.0,5
2017-09-06 07:30:00,12.7,37.0,30.724,45.66,53.608,53.608,69.0,99.0,5
2017-09-06 07:45:00,19.6,36.6,32.467,45.58,53.475,53.475,83.25,110.5,5
2017-09-06 08:00:00,20.4,39.6,33.589,44.48,55.538,55.538,85.0,112.0,5
2017-09-06 08:15:00,27.6,40.4,31.114,46.34,58.92,58.92,86.75,107.0,5
2017-09-06 08:30:00,41.6,39.8,32.382,48.82,57.118,57.118,92.5,82.0,5
2017-09-06 08:45:00,47.1,41.8,32.37,45.82,62.215,62.215,100.0,84.0,5
2017-09-06 09:00:00,47.2,42.2,31.87,45.68,60.088,60.088,102.5,93.0,5
2017-09-06 09:15:00,40.0,42.4,28.663,48.32,58.355,58.355,99.5,102.5,5
2017-09-06 09:30:00,37.5,40.8,32.723,51.98,60.835,60.835,94.5,105.5,5
2017-09-06 09:45:00,41.0,40.8,24.738,52.94,61.52,61.52,97.75,85.0,5
2017-09-06 10:00:00,40.7,39.6,30.529,54.98,61.205,61.205,98.75,91.0,5
2017-09-06 10:15:00,26.5,38.8,15.642,53.44,65.583,65.583,90.75,88.0,5
2017-09-06 10:30:00,33.2,41.0,21.519,53.26,64.465,64.465,91.25,64.5,5
2017-09-06 10:45:00,39.3,42.0,29.614,54.54,63.988,63.988,88.5,80.0,5
2017-09-06 11:00:00,45.5,44.2,27.968,55.36,67.133,67.133,94.25,109.5,5
2017-09-06 11:15:00,41.9,43.4,24.482,49.72,64.848,64.848,96.0,95.0,5
2017-09-06 11:30:00,38.5,42.6,21.043,48.28,64.825,64.825,92.25,124.5,5
2017-09-06 11:45:00,41.5,40.0,13.472,49.62,65.218,65.218,90.5,126.0,5
2017-09-06 12:00:00,41.6,40.0,22.104,48.52,64.133,64.133,91.5,96.5,5
2017-09-06 12:15:00,44.8,40.0,25.628,47.26,65.613,65.613,96.25,105.5,5
2017-09-06 12:30:00,46.4,40.0,27.103,47.84,63.195,63.195,91.25,80.0,5
2017-09-06 12:45:00,43.3,39.2,29.724,50.38,63.02,63.02,87.5,86.5,5
2017-09-06 13:00:00,24.5,36.8,32.614,42.16,61.038,61.038,86.25,136.0,5
2017-09-06 13:15:00,24.1,37.4,13.704,39.76,62.338,62.338,97.75,103.0,5
2017-09-06 13:30:00,28.9,38.8,15.837,38.0,65.09,65.09,100.5,88.5,5
2017-09-06 13:45:00,37.9,38.6,15.228,37.2,65.728,65.728,95.0,115.5,5
2017-09-06 14:00:00,40.2,43.8,13.667,35.76,64.88,64.88,97.0,88.5,5
2017-09-06 14:15:00,37.8,43.8,13.009,34.24,64.645,64.645,94.75,62.0,5
2017-09-06 14:30:00,36.1,43.2,13.814,35.88,66.01,66.01,95.25,118.0,5
2017-09-06 14:45:00,43.4,44.4,13.667,37.52,66.868,66.868,91.75,76.5,5
2017-09-06 15:00:00,42.8,45.6,12.997,30.72,70.02,70.02,93.5,65.0,5
2017-09-06 15:15:00,24.1,45.2,18.763,31.12,63.155,63.155,96.5,72.5,5
2017-09-06 15:30:00,29.0,46.0,23.018,30.16,64.785,64.785,92.5,85.0,5
2017-09-06 15:45:00,36.1,44.0,29.249,30.18,63.538,63.538,91.5,100.5,5
2017-09-06 16:00:00,35.2,46.2,29.724,28.98,62.375,62.375,86.5,110.0,5
2017-09-06 16:15:00,22.3,45.8,29.688,28.5,62.37,62.37,84.0,95.5,5
2017-09-06 16:30:00,13.2,45.8,33.577,28.28,57.45,57.45,72.5,104.5,5
2017-09-06 16:45:00,14.1,46.8,18.946,26.76,55.605,55.605,71.25,90.5,5
2017-09-07 06:00:00,4.1,17.0,6.181,30.84,34.8,34.8,20.0,62.5,6
2017-09-07 06:15:00,6.1,25.8,8.01,45.16,40.75,40.75,38.25,73.0,6
2017-09-07 06:30:00,10.1,30.6,8.108,46.9,45.4,45.4,58.0,107.0,6
2017-09-07 06:45:00,11.9,32.0,7.388,49.54,46.45,46.45,59.0,120.5,6
2017-09-07 07:00:00,11.7,32.6,8.071,48.94,49.65,49.65,65.0,115.0,6
2017-09-07 07:15:00,15.3,35.0,10.497,48.26,51.808,51.808,68.75,127.5,6
2017-09-07 07:30:00,23.6,35.8,7.34,48.94,54.023,54.023,69.75,129.0,6
